User ID,User Name,Node_weight,Reply Count,Retweet count,Like Count,Quote Count,Followers Count,FOllowerID,Follower name
24254537,GrumpyTheology,30,8,0,30,5,4058,[],[]
485946980,jonnydrock,13,0,0,13,0,1250,[],[]
45499955,KayteeMcShane,1,0,0,1,0,609,[],[]
902268741844692992,tanstaafler,0,0,0,0,0,42,[],[]
2750430956,BrettBear63UC,1,0,0,1,0,1105,[],[]
270547624,michaellamperd,0,0,0,0,0,170,[],[]
1095389500367351809,Cecelia78932677,0,1,0,0,0,88,[],[]
16356658,canteach,11,8,0,11,0,5561,[],[]
211715958,Sethersk82,0,0,0,0,0,786,[],[]
2268245994,Spacedonkey1,4,0,0,4,0,3696,[],[]
1212531195524739073,GroyperJe,4,2,0,4,0,766,[],[]
41167668,Shewo1fofwinter,0,1,0,0,0,210,[],[]
348253027,DontAskJeeves,22,0,3,19,0,471,[],[]
994043419,ThatsNokay,1,0,0,1,0,10094,[],[]
1417401,BruceGodfrey,8,0,3,5,0,1934,[],[]
17809667,AnxietyFriesKim,3,0,0,3,0,640,[],[]
400299375,roglemasroger3,0,1,0,0,0,1981,[],[]
1143278149045760000,halcyonsparkle,0,1,0,0,0,33,[],[]
139881542,dmack1966,0,0,0,0,0,4238,[],[]
1372956698,wininsley,0,0,0,0,0,15550,[],[]
28103790,vdutat,1,0,0,1,0,306,[],[]
1318678083831029761,WilliamGilardi,0,0,0,0,0,2,[],[]
235337625,MACKabiVIPer42,1,0,0,1,0,3079,[],[]
918184670399025153,flyboiiceo,1,0,0,1,0,92,[],[]
624274767,JimmyClabotsGMI,4,0,0,4,1,2060,[],[]
165840933,pointandwrite,0,0,0,0,0,1017,[],[]
741128557687099396,mitsubakotonoha,57,4,8,49,4,1889,[],[]
2993642464,transideologist,5,2,0,5,0,2502,[],[]
1320613161905672193,oldwilliamsbur1,0,0,0,0,0,40,[],[]
1096006324897439744,BrianBo57332615,0,0,0,0,0,1,[],[]
769421982429421568,conald_j,0,0,0,0,0,179,[],[]
1333090253964500995,JonBenetGlesga,7,2,1,6,0,80,[],[]
988942211378237440,4Lekili,0,0,0,0,0,12,[],[]
246124314,MichaelStusser,1,0,0,1,0,1820,[],[]
512581065,AngusRockford,1,0,0,1,0,1235,[],[]
219429281,RepKinzinger,2957,271,226,2731,95,446964,[],[]
2810516202,DeborahTrammel,0,0,0,0,0,15,[],[]
2493632869,democracymuse,0,0,0,0,0,162,[],[]
8632422,scottspan,0,0,0,0,0,93,[],[]
2327446574,mollymaeomalley,1,0,0,1,0,184,[],[]
3162925903,rizalvi98,0,0,0,0,0,3,[],[]
1204547816082857984,GiveansRon,0,0,0,0,0,216,[],[]
1899081836,alexander_debi,1,0,0,1,0,444,[],[]
921489584944492545,JajTyson,1,0,0,1,0,565,[],[]
537590520,darinpurcell,1,0,0,1,0,103,[],[]
1323603420,MiaMBloom,113,12,14,99,4,20388,[],[]
1467633846,visionsbyrose,0,0,0,0,0,743,[],[]
1045524091237588992,MariaCa11974889,0,0,0,0,0,0,[],[]
1288697156816297984,RumsfeldStan,3,0,0,3,0,421,[],[]
1334326488980746240,Natsec_Nerd,0,0,0,0,0,117,[],[]
2572956582,StephenGlahn,75,6,13,62,5,53797,[],[]
1293265036388044801,MistakePublic,4,1,1,3,0,87,[],[]
210218585,classicleveski,14,3,0,14,1,508,[],[]
1176986987531837442,dixout4jesus,0,0,0,0,0,96,[],[]
3009866947,jbtutIII,2,1,0,2,1,132,[],[]
2366206326,cheetosrock2000,1,0,0,1,0,176,[],[]
35628428,Maximinalist,0,0,0,0,1,724,[],[]
827588504632725504,shamtxt,0,1,0,0,0,74,[],[]
966804357239975937,maners_amanda,0,0,0,0,0,1057,[],[]
2550812088,Carzonfye,65,3,6,59,2,1745,[],[]
933553938615455744,makeitstopcast,3,0,0,3,0,366,[],[]
1168882402980245506,N1hil0,10,2,0,10,0,1278,[],[]
2973135683,Three3sMalka,4,1,0,4,0,3617,[],[]
165514516,OliviaLittle,94,3,1,93,0,6484,[],[]
1160430312326721536,Mamamartinez7,1,1,0,1,0,4492,[],[]
1163257625523343360,QaN0_N,0,0,0,0,0,16,[],[]
25429022,howtaobrowncow,0,0,0,0,0,179,[],[]
310674900,Clean_Man_93,1,1,0,1,0,655,[],[]
1329610844209025031,JacksonArmyNavy,0,0,0,0,0,99,[],[]
2477063635,nottheuniverse,0,0,0,0,0,289,[],[]
1245990701474689024,Ceresa40270854,0,0,0,0,0,0,[],[]
2236728904,itsgoneyay,3,1,0,3,0,146,[],[]
1326918593909436416,nothardingg,4,1,0,4,0,23,[],[]
1118921162740961284,Sharon_Kuruvila,47,9,0,47,0,10366,[],[]
824830929654935552,Heideggram,0,0,0,0,0,416,[],[]
19552154,richburroughs,19,7,0,19,0,10829,[],[]
64220011,alencaramatos,73,4,2,71,0,16187,[],[]
3391351216,aravenjpg,3,0,1,2,0,197,[],[]
29702611,melodeeaaron,9,2,1,8,0,7282,[],[]
11692802,thmazing,3,0,0,3,0,1079,[],[]
121261104,Dean_Bain,0,0,0,0,0,2111,[],[]
1514884909,fergiegee1,0,0,0,0,0,10740,[],[]
1231323653901443072,Brendalasvegas2,2,1,0,2,0,2115,[],[]
1236899344189509633,justacoverband,7,1,0,7,0,1436,[],[]
1216426214212026368,lois_left,4,0,0,4,0,3513,[],[]
1197928876401233920,SjuniorDonald,6,1,0,6,0,1204,[],[]
1016162767932477440,Mr_MasonThe2nd,4,0,0,4,1,1076,[],[]
34415216,kotngotn,1,0,0,1,0,319,[],[]
544531608,abbieasr,329,12,5,324,1,47228,[],[]
244159089,peregrinepfp,3,1,0,3,0,461,[],[]
746448731386437632,RaduBondar,19,0,1,18,0,1042,[],[]
896830288730492928,hembrailustrada,1,0,0,1,0,808,[],[]
1243374964696326144,DemmyXii,0,0,0,0,0,299,[],[]
2898713834,stulosophy,5,0,0,5,0,325,[],[]
3290720010,SaxonBekah,1,0,0,1,0,529,[],[]
1314987274279452672,Musharrafullah2,0,0,0,0,0,0,[],[]
2157670758,Danakin33,0,0,0,0,0,163,[],[]
78148941,32Benny,0,1,0,0,0,1619,[],[]
2457090116,coach1Pedro,0,0,0,0,0,2,[],[]
1311739513048313860,petitcrampon,1,0,0,1,0,105,[],[]
733550702547460096,ObamaChemtrail,0,0,0,0,0,181,[],[]
14873618,DavidOAtkins,553,74,59,494,13,28630,[],[]
506194847,SmartassReMarx,0,0,0,0,0,85,[],[]
1325897417800216579,ElectKatieDean,1,0,0,1,0,31270,[],[]
26333400,chrisfarren,1115,9,113,1002,6,22047,[],[]
940000666189221890,BenUticone,1,0,0,1,0,518,[],[]
1460255196,alexraysnyder,0,0,0,0,0,238,[],[]
16185413,jwildeboer,6,0,0,6,0,7347,[],[]
3251140248,hanford_site,1,0,0,1,0,395,[],[]
2279934031,thecrypt0gospel,7,1,0,7,0,1354,[],[]
242240781,stan_okl,9,0,0,9,0,4097,[],[]
277257216,thrownshapes,3,1,0,3,0,340,[],[]
23712638,Hikeeba,0,0,0,0,0,264,[],[]
251127574,nortonlolimut,4,0,0,4,0,1512,[],[]
37302286,ntrider825,69,2,1,68,0,4456,[],[]
1243397255937155074,suspicious_Ca,0,0,0,0,0,15,[],[]
367997404,AlfieriJamie,0,0,0,0,0,612,[],[]
3020401586,mathew_jayy,23,0,3,20,1,384,[],[]
1270745090470920201,Mukhtar27687066,1,0,1,0,0,0,[],[]
628403474,badvibesmami,8,1,0,8,0,7718,[],[]
1222747048283271168,IannielloRick,0,0,0,0,0,1373,[],[]
19942573,Frediculous,20,6,1,19,1,11427,[],[]
1034157881623498752,mhikida5,28,4,0,28,0,296,[],[]
978658091406413826,matheusagostin,7,1,0,7,0,3979,[],[]
1017628083111845888,FieroTravis,0,0,0,0,0,3436,[],[]
1184083690554560512,ChungusEnergy,0,0,0,0,0,158,[],[]
34983365,TheContentDaddy,0,1,0,0,0,518,[],[]
