User ID,User Name,Node_weight,Reply Count,Retweet count,Like Count,Quote Count,Followers Count,FOllowerID,Follower name
22332352,garypatent,3,0,0,3,0,357,[],[]
24107824,faizanj,0,0,0,0,0,747,[],[]
29013138,3Sides2EvryStry,0,1,0,0,0,743,[],[]
4543860138,theonlyKJQ,0,0,0,0,0,17,[],[]
766003898935115776,Bernd__Neuner,5,2,2,3,0,1949,[],[]
48965027,Chris_Cross77,0,0,0,0,0,1321,[],[]
302853220,jamsamesss,0,0,0,0,0,612,[],[]
96298526,_batou_,5,0,0,5,0,3628,[],[]
378926179,boner_pilled,14,0,1,13,0,1918,[],[]
168347215,MyNameIsKingdom,20,1,2,18,0,1653,[],[]
1206804654316765184,bettyboop22392,6,1,0,6,1,242,[],[]
134906567,steffenbech,1,0,0,1,0,672,[],[]
1158393961377148933,Sombes2,4,0,0,4,0,304,[],[]
69303815,rodrigo_firmino,0,0,0,0,0,1837,[],[]
502164362,GangSignJohn,2,0,0,2,0,1131,[],[]
980862458,simontetros,3,0,0,3,0,1969,[],[]
1239812151277056000,Perc80BIH,0,0,0,0,0,8,[],[]
1218471232728961025,CovaFlorian,54,5,6,48,0,4661,[],[]
20505102,yourapocalypse,1,0,0,1,0,569,[],[]
2845096720,AnonymousBelgie,12,1,2,10,0,3048,[],[]
1463621329,RecentlySasha,0,0,0,0,0,18,[],[]
282275320,Todd_Scheve,16,1,1,15,0,54301,[],[]
2246951860,lilmustardluvr,3,0,0,3,0,92,[],[]
29042594,dylancoleblack,14,0,0,14,0,864,[],[]
15250425,JulesAGray,3,0,0,3,0,3985,[],[]
1269002532879302657,vforvaginaz,1,0,0,1,0,44,[],[]
1641778382,Dan17PAC,6,0,0,6,0,140,[],[]
2269583299,jaytothelo,2,0,0,2,0,2793,[],[]
189343489,baixotuiter,0,0,0,0,0,152,[],[]
2245860961,jtwilson1977,0,1,0,0,0,223,[],[]
36208449,sammideedub,3,0,0,3,0,1001,[],[]
354812259,x__ok,205,2,30,175,0,51193,[],[]
1080985303,ArchdukeRedcat,14,1,1,13,0,1192,[],[]
250442034,thebilliot,0,0,0,0,0,14,[],[]
892083721,KnitFreaks,0,0,0,0,0,608,[],[]
325161071,BirdsRDrones,0,0,0,0,0,249,[],[]
2239862010,polosporting,5,1,0,5,0,1956,[],[]
367628421,gadget_gaz,0,0,0,0,0,252,[],[]
614036308,jtsmelly,11,0,1,10,0,3962,[],[]
8089222,forrestbmac,0,0,0,0,0,235,[],[]
230284430,rbv_94,4,2,0,4,0,620,[],[]
